Continents,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
America,Canada,2.2,3.5,-3.2,2.6,5.9,4.7,2.1,4.1,4.4,2.3,0.2,-2.1,0.9,2.7,4.5,2.7,1.6,4.3,3.9,5.2,5.2,1.8,3.0,1.8,3.1,3.2,2.6,2.1,1.0,-2.9,3.1,3.1,1.8,2.3,2.9,0.7,1.0,3.0,2.8,1.9,-5.1,5.0,3.4,1.5,1.5499897186147187,2.1442992664742655,1.999906529581531,1.9098570466570461,1.8866240259740263
Africa,Central African Republic,-3.0,13.0,-3.6,-6.0,9.9,3.7,7.2,0.0,1.7,3.8,1.4,-0.8,-4.9,-1.2,12.6,3.2,-6.2,4.1,3.3,2.9,-3.6,2.6,2.1,-2.2,-0.1,2.9,4.8,4.0,2.6,2.8,4.6,4.2,5.1,-36.4,0.1,4.3,4.7,4.5,3.8,3.0,1.0,1.0,0.4,2.5,3.4060429137529167,3.4821607692307737,3.4395309879009917,3.364542962592958,3.109099086469089
Africa,Chad,-6.0,-10.8,5.4,15.7,5.3,7.9,6.0,3.6,7.5,2.0,3.2,10.4,2.4,-2.1,5.5,-0.8,2.1,5.7,7.0,-0.7,-0.9,11.7,8.5,14.7,33.6,8.3,0.6,3.3,3.1,4.1,13.6,0.1,8.8,5.8,6.9,1.8,-5.6,-2.4,2.4,3.4,-2.1,-1.1,2.5,3.5,3.689460990969812,3.579166621956473,3.7121325153767804,3.744932949550447,3.7174355999392734
America,Chile,7.9,6.2,-13.6,-2.8,5.9,2.0,5.6,6.6,7.3,10.6,3.7,7.8,11.2,6.6,5.0,8.9,5.0,7.4,4.2,-0.3,5.0,3.2,3.2,4.7,6.7,5.8,6.0,5.2,3.8,-1.1,5.9,6.2,6.2,3.3,1.8,2.2,1.8,1.4,4.0,0.7,-6.1,11.7,2.4,-1.0,2.209456978118203,2.485160097249957,2.4783189624015463,2.558447378100631,2.6054253603036113
Asia,"China, People's Republic of",7.9,5.1,9.0,10.8,15.2,13.5,8.9,11.7,11.2,4.2,3.9,9.0,14.3,13.9,13.0,11.0,9.9,9.2,7.9,7.7,8.5,8.3,9.1,10.0,10.1,11.4,12.7,14.2,9.6,9.4,10.6,9.6,7.8,7.8,7.4,7.0,6.9,6.9,6.8,6.0,2.2,8.4,3.0,5.2,5.290480555555558,4.6833355555555585,4.532991111111111,4.478656111111115,4.335149999999998
America,Colombia,4.4,2.3,0.9,1.6,3.4,3.1,5.8,5.4,4.1,3.4,4.3,2.4,4.4,5.7,5.1,5.2,2.1,3.4,0.6,-4.2,2.9,1.7,2.5,3.9,5.3,4.4,6.7,6.7,3.3,1.1,4.5,6.9,3.9,5.1,4.5,3.0,2.1,1.4,2.6,3.2,-7.3,11.0,7.5,1.0,2.317302393574032,2.8896649287541107,3.1206258857851474,3.1228148523968247,3.136906187892814
Africa,Comoros,7.4,5.5,4.1,3.1,4.2,2.9,2.2,2.2,5.1,-0.8,7.4,-6.2,7.4,2.5,-4.0,5.6,-0.5,4.4,0.0,2.7,-1.0,5.4,4.6,2.0,3.1,5.7,-1.8,0.8,4.0,3.2,3.8,4.1,3.2,4.5,2.1,1.1,3.3,3.8,3.6,1.8,-0.2,2.1,2.4,3.0,3.2559543650793654,3.6192107142857144,3.7237686507936525,3.7351567460317487,3.698537698412695
Africa,"Congo, Dem. Rep. of the",2.4,0.9,-0.5,1.4,4.8,0.5,4.7,2.7,0.5,-1.3,-6.6,-8.4,-10.5,-13.5,-6.1,2.8,-1.9,-7.8,-3.9,-3.8,-8.1,-2.1,2.9,6.6,7.7,9.8,5.1,8.5,7.4,0.6,7.8,7.6,8.7,9.6,7.3,6.4,0.4,3.7,4.8,4.5,1.7,6.2,6.6,6.3,6.725186111111111,6.361699999999998,6.341358333333335,6.143655555555556,6.072941666666666
Africa,"Congo, Republic of ",12.7,2.6,2.4,2.4,2.4,2.4,2.3,2.3,21.9,21.3,1.0,3.4,4.2,1.3,-1.4,4.0,3.5,-1.0,8.9,-3.7,11.8,-4.8,1.0,0.5,-0.2,9.2,8.0,-6.6,6.3,11.6,9.9,2.2,9.9,-0.7,6.7,-3.6,-10.8,-4.4,-4.8,1.0,-6.2,1.5,2.8,4.1,4.33081442862693,3.5849140109890114,3.8033718170718163,3.8435761363636387,3.7878411824286826
America,Costa Rica,0.8,-2.3,-7.3,2.9,8.0,0.7,5.5,4.8,3.4,5.7,3.6,2.3,9.2,7.1,4.5,4.2,1.4,5.5,7.2,4.2,3.9,3.5,3.4,4.3,4.4,4.0,7.3,8.2,4.7,-0.9,5.4,4.4,4.9,2.5,3.5,3.7,4.2,4.2,2.6,2.4,-4.3,7.8,4.3,2.7,2.8910012377020387,3.0934463222024213,3.069834286917896,3.0339347611258636,3.0239947649469916
