Continents,Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Asia,Syria,10.5,8.5,2.6,1.6,-6.5,7.3,-4.8,1.3,12.7,-6.1,10.4,10.7,13.2,7.4,5.5,5.4,3.0,-1.1,5.6,-3.1,2.3,3.7,5.9,-2.0,6.9,6.2,5.0,5.7,4.5,5.9,3.4,6.21,5.42,4.97,4.07,2.56,3.76,3.78,3.76,2.97,-5.44,5.21,3.92,4.57,4.259451150238649,4.067178913308915,3.958307293262292,3.892280342712841,3.8572295829170837
Africa,São Tomé and Príncipe,-1.1,-10.3,3.1,-3.9,-6.0,9.3,-5.8,-2.9,2.0,3.1,-2.2,1.2,0.7,1.1,2.2,2.0,1.5,1.0,2.5,2.5,0.4,2.4,2.4,6.6,3.8,7.1,9.1,3.3,8.2,2.4,6.7,4.4,3.1,4.8,6.5,3.8,4.2,3.9,3.0,2.2,3.0,1.9,0.9,2.0,2.631295876345876,3.336759629259632,3.477091200466201,3.495377899877902,3.5317772588522565
Asia,Taiwan Province of China,8.0,7.1,4.8,9.0,10.0,4.8,11.5,12.8,8.0,8.7,5.5,8.4,8.3,6.8,7.5,6.5,6.2,6.1,4.2,6.7,6.3,-1.4,5.5,4.2,7.0,5.4,5.8,6.9,0.8,-1.6,10.2,3.7,2.2,2.5,4.7,1.5,2.2,3.3,2.8,3.1,3.4,6.5,2.5,2.1,2.647841105446276,2.7051215967940085,2.8821880936113704,2.800564974202043,2.8000379627077905
Asia,Tajikistan,3.98,5.65,2.44,4.76,7.16,3.74,3.65,5.39,4.77,3.81,4.2,3.72,5.73,-11.1,-21.4,-12.5,-4.4,1.7,5.3,3.7,8.3,10.2,9.1,10.2,10.6,6.7,7.0,7.8,7.9,3.9,6.5,7.4,7.5,7.4,6.7,6.0,6.9,7.1,7.6,7.4,4.4,9.4,8.0,5.0,4.977901785714285,4.66124265873016,4.646848809523811,4.629022817460316,4.612577182539683
Africa,Tanzania,3.3,0.5,0.6,2.4,3.4,4.6,6.6,5.9,4.4,3.8,7.0,2.1,0.6,1.2,1.6,3.6,4.5,3.5,3.7,4.8,4.9,6.0,7.2,6.9,7.8,7.4,4.7,8.5,5.6,5.4,6.4,7.9,5.1,6.8,6.7,6.2,6.9,6.8,7.0,7.0,4.8,4.9,4.7,5.2,5.849101262626262,6.027947727272724,6.104191666666667,6.168491161616162,6.113821969696969
Asia,Thailand,4.6,5.9,5.4,5.6,5.8,4.6,5.5,9.5,13.3,12.2,11.6,8.4,9.2,8.7,8.0,8.1,5.7,-2.8,-7.6,4.6,4.5,3.4,6.1,7.2,6.3,4.2,5.0,5.4,1.7,-0.7,7.5,0.8,7.2,2.7,1.0,3.1,3.4,4.2,4.2,2.1,-6.2,1.6,2.6,3.4,3.4780238295848847,3.276853321866326,3.1547418244556895,3.0404866362654706,3.0755234393226796
Asia,Timor-Leste,3.98,5.65,2.44,4.76,7.16,3.74,3.65,5.39,4.77,3.81,4.2,3.72,5.73,1.67,1.77,3.62,4.65,5.28,2.68,4.64,5.88,16.3,-6.7,-2.2,0.4,3.0,-4.1,10.3,11.4,10.1,9.3,6.0,4.9,3.1,4.5,2.8,3.4,-3.1,-0.7,2.1,-8.3,2.9,3.3,2.2,2.7847007461528244,2.9084970493132896,2.8579530048915287,2.8487276325904842,2.838269711281188
Africa,Togo,-2.3,-3.4,-3.7,-5.2,5.9,3.7,3.3,-2.5,10.1,4.1,5.9,-0.6,-3.2,-16.3,13.9,19.7,-3.9,3.8,-2.3,2.5,-1.0,0.8,3.8,6.7,-1.0,-4.7,2.7,-1.2,4.1,5.5,6.1,6.4,6.5,6.1,5.9,5.7,5.6,4.3,5.0,5.5,1.8,5.3,5.4,5.5,5.831770596070597,5.5733852480852475,5.406492857142858,5.453530744255743,5.473536721611721
Oceania,Tonga,15.8,14.0,12.8,5.8,44.1,5.6,8.8,1.7,-3.5,1.1,4.7,5.9,-3.8,-0.1,2.0,7.9,0.1,-0.6,2.3,2.3,3.8,1.5,4.5,0.1,-1.9,-0.4,-2.2,-2.5,4.8,-5.2,0.8,6.8,0.8,0.3,2.0,1.2,6.6,3.3,0.2,0.7,0.5,-2.7,-2.0,2.5,2.5765350877193005,2.406583333333331,1.852448245614036,1.816453508771931,1.8132701754385971
America,Trinidad and Tobago,10.4,4.6,3.8,-10.3,-5.8,-4.1,-3.3,-4.6,-3.9,-0.8,1.5,3.1,10.1,-0.7,3.6,3.8,7.1,7.5,8.1,8.0,6.9,3.7,7.2,13.9,7.3,5.9,14.2,4.3,3.3,-4.8,3.5,-0.2,4.5,3.8,3.3,-0.8,-6.8,-4.7,-0.9,0.1,-7.7,-1.0,2.5,3.2,2.4830338023088037,2.703904930254928,2.2349110028860024,1.9743249398749385,1.8988445165945163
Africa,Tunisia,7.4,5.5,-0.5,4.7,5.7,5.7,-1.5,6.7,0.1,2.6,7.1,4.1,8.0,2.5,3.6,2.7,6.9,5.7,5.0,6.0,4.3,3.8,1.3,4.7,6.2,3.5,5.2,6.7,4.2,3.0,3.5,-2.0,4.2,2.4,3.1,1.0,1.1,2.2,2.6,1.6,-8.8,4.4,2.5,1.3,2.138209232726339,2.388390216313901,2.4854472514327766,2.4585206202179877,2.4600323325796993
Asia,Turkmenistan,3.98,5.65,2.44,4.76,7.16,3.74,3.65,5.39,4.77,3.81,4.2,3.72,5.73,-10.0,-17.3,-7.2,-6.7,-11.3,6.7,16.5,18.6,20.4,15.8,17.1,14.7,13.0,11.0,11.1,14.7,6.1,16.2,12.9,6.1,-0.3,3.8,3.0,-1.0,4.7,0.9,-3.4,-2.9,4.6,1.8,2.3,2.2546006715506697,2.6035485958485935,2.4362203907203916,2.4424142551892567,2.4422654456654467
Oceania,Tuvalu,1.39,2.43,1.72,1.01,8.96,1.26,3.42,1.22,2.16,3.01,1.68,1.92,4.46,3.59,5.93,3.62,2.88,-0.15,2.35,1.78,1.45,0.7,8.3,-4.4,-1.9,-3.7,1.3,6.9,6.6,-5.6,-2.5,7.5,-2.9,3.8,1.7,9.4,4.7,3.3,1.4,13.8,-4.3,1.8,0.7,4.3,3.6983269680611817,3.2651175213675234,3.0309371345029232,2.884903508771926,2.858135560053978
Asia,"Türkiye, Republic of",-0.8,4.4,3.4,4.8,6.8,4.3,6.9,10.0,2.1,0.3,9.3,0.9,6.0,8.0,-5.5,7.2,7.0,7.5,3.1,-3.3,6.9,-5.8,6.4,5.8,9.8,9.0,6.9,5.0,0.8,-4.8,8.4,11.2,4.8,8.5,4.9,6.1,3.3,7.5,3.0,0.8,1.9,11.4,5.6,2.7,3.288484661889834,3.1295008869483025,3.126199016022292,3.131519730556799,3.14021530203513
Africa,Uganda,-3.4,3.9,8.2,4.9,-3.0,-3.0,0.9,4.0,8.3,6.4,6.5,1.8,5.9,6.7,7.7,9.2,6.6,4.6,6.1,8.0,3.9,8.8,7.1,6.2,5.8,10.0,7.0,8.1,10.4,8.1,7.5,7.7,2.3,3.9,5.7,8.0,0.2,6.8,5.5,7.8,-1.3,6.0,4.9,5.7,5.745444444444442,6.791916666666665,6.354166666666662,6.2251388888888854,5.909583333333334
Europe,Ukraine,2.89,1.09,1.47,2.08,3.01,2.53,3.34,3.18,3.42,3.73,1.2,-1.99,-9.9,-14.2,-22.9,-12.2,-10.0,-3.0,-1.9,-0.2,5.9,8.8,5.3,9.5,11.8,3.1,7.6,8.2,2.2,-15.1,4.1,5.5,0.2,0.0,-6.6,-9.8,2.4,2.4,3.5,3.2,-3.8,3.4,-30.3,-3.0,2.398128333333336,2.7060221428571434,2.647999920634923,2.5738357142857153,2.5592229365079335
Asia,United Arab Emirates,-1.8,8.0,-7.2,-5.2,4.5,-2.5,-19.3,5.3,-2.6,15.7,23.6,2.1,3.1,0.0,7.4,6.6,5.3,8.6,0.8,3.8,12.3,1.3,2.5,8.8,9.6,4.9,9.8,3.2,3.2,-5.2,1.6,6.9,4.8,5.1,4.2,6.8,5.6,0.7,1.3,1.1,-5.0,3.9,7.4,3.5,3.7212882700632686,3.6755361823361827,3.7474792735042723,3.7645161902911934,3.747518259518263
Europe,United Kingdom,-2.2,-0.9,1.7,3.9,1.9,3.7,2.6,5.2,5.2,2.2,0.6,-1.7,0.0,2.1,3.5,2.1,1.9,4.5,3.2,3.0,4.1,2.2,1.8,3.1,2.3,2.7,2.2,2.6,-0.2,-4.5,2.4,1.1,1.4,1.8,3.2,2.4,2.2,2.4,1.7,1.6,-11.0,7.6,4.0,-0.3,1.2524262829980475,2.067846075319015,1.9393860308972077,1.8111102297484651,1.646897731941261
America,United States,-0.3,2.5,-1.8,4.6,7.2,4.2,3.5,3.5,4.2,3.7,1.9,-0.1,3.5,2.8,4.0,2.7,3.8,4.4,4.5,4.8,4.1,1.0,1.7,2.8,3.9,3.5,2.8,2.0,0.1,-2.6,2.7,1.5,2.3,1.8,2.3,2.7,1.7,2.2,2.9,2.3,-2.8,5.9,2.1,1.6,1.5441576096418188,2.012887752987754,2.0779532073189952,2.0511761120945304,2.044240457933877
America,Uruguay,6.0,1.9,-9.4,-5.9,-1.5,0.3,7.5,5.9,0.5,1.1,0.3,3.5,7.9,2.7,7.3,-1.4,5.6,5.0,4.5,-1.9,-1.9,-3.8,-7.7,0.8,5.0,7.5,4.1,6.5,7.2,4.2,7.8,5.2,3.5,4.6,3.2,0.4,1.7,1.6,0.5,0.4,-6.1,4.4,4.9,2.0,2.7229385461760467,2.766668217893218,2.646528805916307,2.5347683982683966,2.523648827561326
Asia,Uzbekistan,3.98,5.65,2.44,4.76,7.16,3.74,3.65,5.39,4.77,3.81,4.2,3.72,-11.1,-2.3,-5.2,-0.9,1.7,5.2,4.3,4.3,3.8,4.2,4.0,4.2,7.4,7.0,7.5,9.5,9.0,8.1,7.1,7.5,7.1,7.3,6.9,7.2,5.9,4.4,5.9,6.0,2.0,7.4,5.7,5.3,5.538306493506494,5.581166017316017,5.523026190476189,5.507264718614718,5.485097619047618
Oceania,Vanuatu,5.5,4.4,2.0,3.0,9.6,1.0,-0.1,-2.9,-1.7,1.5,11.7,3.1,2.6,0.7,9.1,1.0,2.3,4.9,1.2,0.3,5.9,-3.4,-5.2,4.3,4.0,5.3,8.5,2.9,5.6,3.0,1.3,3.1,1.0,0.5,3.1,0.4,4.7,6.3,2.9,3.2,-5.0,0.6,1.9,3.5,3.582878946118679,3.746289477687625,3.181521159728258,3.1167242675231006,2.78397645770952
America,Venezuela,-4.9,-1.3,2.6,-9.9,5.2,0.9,6.1,4.8,6.5,-13.9,6.5,9.7,6.1,0.3,-2.3,4.0,-0.2,6.4,0.3,-6.0,3.7,3.4,-8.9,-7.8,18.3,10.3,9.9,8.8,5.3,-3.2,-1.5,4.2,5.6,1.3,-3.9,-6.2,-17.0,-15.7,-19.7,-27.7,-30.0,0.5,8.0,5.0,4.569083333333334,3.223983333333336,3.659233333333337,2.994466666666666,2.9971833333333326
Asia,Vietnam,-3.5,5.8,8.2,7.1,8.4,5.6,3.4,2.5,5.1,7.8,5.0,5.8,8.7,8.1,8.8,9.5,9.3,8.2,5.8,4.8,6.8,6.9,7.1,7.3,7.8,7.5,7.0,7.1,5.7,5.4,6.4,6.4,5.5,5.6,6.4,7.0,6.7,6.9,7.5,7.4,2.9,2.6,8.0,5.8,6.557724999999994,6.532233333333332,6.453474999999997,6.375616666666668,6.373066666666665
Asia,West Bank and Gaza,3.98,5.65,2.44,4.76,7.16,3.74,3.65,5.39,4.77,3.81,4.2,3.72,5.73,1.67,1.77,7.1,1.2,14.7,14.3,8.3,-8.6,-9.3,-12.5,14.0,21.9,11.3,-1.0,3.8,7.4,8.6,5.8,9.6,6.1,4.7,-0.2,3.7,8.9,1.4,1.2,1.4,-11.3,7.0,4.0,3.5,3.1134576839826815,2.8891224242424243,2.634154891774892,2.8051313636363635,2.773264935064935
Asia,Yemen,3.98,5.65,2.44,4.76,7.16,3.74,3.65,5.39,4.77,3.81,4.2,6.3,8.2,4.0,6.7,5.7,4.6,5.2,6.0,3.8,6.2,3.8,3.9,3.7,4.0,5.6,3.2,3.3,3.6,3.9,7.7,-12.7,2.4,4.8,-0.2,-28.0,-9.4,-5.1,0.8,1.4,-8.5,-1.0,1.5,-0.5,2.077876190476191,4.932173015873016,4.591946031746031,4.297461904761905,4.0153349206349205
Africa,Zambia,3.9,6.6,-2.9,-1.1,-1.7,1.2,1.7,1.5,9.3,-3.7,-0.6,-0.7,2.1,-0.1,-13.3,2.9,6.2,3.8,-0.4,4.7,3.9,5.3,4.5,6.9,7.0,7.2,7.9,8.4,7.8,9.2,10.3,5.6,7.6,5.1,4.7,2.9,3.8,3.5,4.0,1.4,-2.8,4.6,3.4,4.0,4.267951262626267,4.615427020202025,4.612559722222218,4.796517803030302,4.832015530303036
Africa,Zimbabwe,1.83,1.4,2.4,1.7,2.37,4.25,3.63,2.99,5.1,3.75,3.12,2.42,1.77,2.0,1.85,4.55,4.95,6.44,3.42,-1.1,-4.2,-0.5,-7.7,-16.2,-6.3,-7.4,-3.6,-3.4,-16.3,7.4,19.7,14.2,16.7,2.0,2.4,1.8,0.5,5.0,4.7,-6.1,-7.8,8.5,3.0,2.5,2.5474333333333314,2.570975757575755,2.6307893939393967,2.677300000000002,2.6783757575757594
